,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,nextAudacc,nextbank,nextfinan
87,2024 spring,YM Hui Wong & Co.,YM Hui Wong & Co.,No idea,NA,tutorial teacher,School,Teacher,Teacher,School,,,,,,,,False,False,False
88,Spring 2024,UST\, HKExpress and Acct related businesses ,Auditing or consulting,ESG,Big 4 companies ,Auditing intern,Corporate,corporate financial analyst,pastry,start own business,,,,,,,False,False,False
89,2024,Accounting,Consulting,,Hk,Consulting ,Hk,Consulting,Consulting ,Canada,,,,,,,,False,False,False
90,Next year,FastLane,Deloitte ,/,Hong Kong ,Audit/ accounting,Hong Kong ,Audit/ accounting,Audit/ accounting,Hong Kong,,,,,,,,True,False,False
91,probably 2024,insurance,/,no plan,HK,finance industry,Asia,same as above,probably same as above,No idea,,,,,,,,False,False,False
92,2024.6,Wealth managemen/IBDt,No,ACCT,HK,Big four,HK,commercial banks,CMA,HK,,,,,,,,False,True,False
93,2024 or 2025,small firm,big 4,,hong kong,big 4,big 4\, banks,consulting,banking,banks,,,,,,,False,True,False
94,End of 2024,,,,At an investment bank/firm,Internship at an investment bank back in Australia,Macquarie Bank\, Morgan Stanley\, Citibank,Analyst,Analyst,Macquarie Bank\, Morgan Stanley\, Citibank,,,,False,False,False
95,2024,NGO\, New World Facilities Management Co. Ltd,Secondary school as I may be a BAFS teacher ,Education,HK,Maybe study for next 2 years,HK,Teacher/ Marketing,Teacher\, travelling\, working holidays? not sure now,HK/ Europe,,,,,False,False,False
96,2023 June,acct and private bank,bank,Business,US or UK,Bank,US,Manager,Bank ,US,,,,,,,,False,False,False
97,Jun 2023 ,big 4\, property,maybe big4,no plan,big 4\, pass QP,big 4,any company with good pay,internal auditor,maybe consultant,maybe government,,,,,,True,False,False
98,2024,big 4,accounting industry,n/a,big 4,auditor,big 4,auditor but certified,manager?,big 4,,,,,,,,True,False,False
99,2025,Big 4,no,no,hk,aduit,hk,accounting,accounting,hk,,,,,,,,True,False,False
100,2023 Dec,PwC\, CNCBI\, BankofComms,Not yet,I don't have a plan for graduate school,Not sure yet,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,,False,False,False
101,2023-2024 spring sem,,,economics,,,,,,,,,,,,,,False,False,False
102,,,,,,,,,,,,,,,,,,,,
103,2024,JHP and Yearfull Contracting,Big 4 probably,N/A,HK,Big4 as a starting point of my career,HK,In house accountant,Not sure yet,HK,,,,,,,,True,False,False
104,This year,Commercial companies,Commercial companies,business-related subject,Big 4,Big 4,Big 4,Big 4,Commercial companies,Commercial companies,,,,,,,,True,False,False
105,2024,acct,investment,aus,hk,investment,aus,free lance,free lance,aus,,,,,,,,False,False,False
106,2024,Auditing firm,Acct,Acct,Hk,Not sure,Not sure,High paid job,/,/,,,,,,,,False,False,False
107,2024 spring ,No,CPA firm,Business analytics ,Hong Kong ,Accountant,Hong Kong ,Accountant ,No idea ,Hong Kong,,,,,,,,True,False,False
108,2023-2024 Winter,One of the Big 4,business about taxation,no,Hong Kong,Job about assurance or taxation,Hong Kong,Job about taxation,Job about taxation,Hong Kong,,,,,,,,False,False,False
109,june 24,,government office,chinese medicine,government / big4,assurance/tax,government,AO,AO,government,,,,,,,,False,False,False
110,2024,FTI\, KPMG\, PWC \,AIA,N/A,N/A,HK,Finance consulting,Hong Kong,Consulting,MBB consulting,HK,,,,,False,False,False
111,2024,I have worked for a local accounting firm. On top of that\, I have been a part-time private tutor to earn my daily expenses.,One of the Big4 or one of the second tier audit firm.,I don't think going to graduate school is an affordable option financially.,Hong Kong.,Auditing.,Hong Kong.,Auditing and maybe the accounting department in banks.,It's not clear to me. However\, it is still my intention to stay in the Accounting field.,Hong Kong.,,,,,,False,False,False
112,June 2024 ,,,master of accounting ,,,,,,,,,,,,,,False,False,False
113,2024,VC,VC,BA,HK,VC,HK,VC,VC,CA,,,,,,,,False,False,False
114,Spring 2024,BOC and an accounting firm as assistant,Auditing or IB,2024 Fall,Big Four or an IB,Auditing or Banking,HK or America,Auditing or Banking if possible,Auditing or Banking if possible,HK or America,,,,,,,,True,True,False
115,2024,dtt \,ey,pwc,acct,pwc,pwc,hk,audit,audit,hk,,,,,,,False,False,False
116,Jun 2024,PwC,Audit,Accounting,HK,External audit,HK,Internal audit,Internal audit,HK,,,,,,,,True,False,False
117,2024,Talwin ,Big 4,Finance,Hong Kong,Bank,Hong Kong,Bank,Bank,Hong Kong,,,,,,,,False,True,False
118,June 2024,EY\, summer internship,No,Not decided yet,Big4,Auditing or tax,Not decided yet,Not decided yet,Not decided yet,Not decided yet,,,,,,,False,False,False
119,2024,7-Eleven,I don’t know.,Education,Hong Kong,Accounting clerk ,Hong Kong,Accounting clerk,Accountant,Hong Kong,,,,,,,,True,False,False
120,2024,EY\, Deloitte,Standard Chartered/ HSBC/ big4,No,First tier banks in HK,A banker or an auditor,HK,A banker,A banker,HK,,,,,,,False,False,False
121,Next year,Grocery store,Not planned,Not planned,Not planned,Not planned,Not planned,Not planned,Not planned,Not planned,,,,,,,,False,False,False
122,2024,Big four,,,hk,consulting firm,hk,consulting firm,consulting firm,hk,,,,,,,,False,False,False
123,2024,HKMC\, Audit firm,probably banking...?,Psychology,US,Banking / Finance,US / Canada,Banking / Finance,Banking,US (probably),,,,,,,False,False,False
124,Finish taking courses,No,,,HK,Accountant ,HK,Accountant ,Accountant,HK,,,,,,,,True,False,False
125,2024,Deloitte ,Not yet,Na,Bank,IT-related ,Bank,Acct/ it,Acct/ it,Bank/big 4,,,,,,,,True,False,False
126,June 2024,Regulators and banks,Banking,N/A,MNC,A job that can give me a better idea of what I want to do when I graduate\, for now I am interested in banking so I would want to work in the banking industry,A company with a more open office culture\, as I believe it is beneficial to me at that point of life when the learning curve is steep,A job that allows me to work together with different people,A job which can give me a broader perspective of the world. I think it is important to be working on something that is challenging you to keep updated or educated on new things.,Somewhere more stable,,,,,,False,False,False
